	token	coref	ner
0	2	O	O
1	0	O	O
2	2	O	O
3	2	O	O
4	NOTULEN	O	O
5	VERGADERING	O	O
6	GEMEENTERAAD	O	O
7	UTRECHT	O	O
8	13e	(0	O
9	vergadering	0)	O
10	-	O	O
11	15	(1	O
12	september	O	O
13	2022	O	O
14	Vergadering	O	O
15	van	O	O
16	de	(2	O
17	gemeenteraad	2)|1)	O
18	,	O	O
19	gehouden	O	O
20	op	O	O
21	donderdag	(3	O
22	15	(4	O
23	september	O	O
24	2022	4)|3)	O
25	te	O	O
26	10.00	(5	O
27	uur	5)	O
28	.	O	O
29	B_	O	O
30	:	O	O
31	mevrouw	(6	O
32	Dijksma	O	S-PER
33	,	O	O
34	burgemeester	(7)	O
35	,	O	O
36	afgewisseld	O	O
37	door	O	O
38	de	(8	O
39	heer	O	O
40	Zwanenberg	8)|6)	S-PER
41	.	O	O
42	Aanwezig	O	O
43	zijn	O	O
44	de	(9	O
45	leden	9)	O
46	:	O	O
47	Assen	(10)	S-PER
48	,	O	O
49	Al-Saqaff	(11)	S-PER
50	,	O	O
51	Bakker	(12)	S-PER
52	,	O	O
53	Bode	(13)	S-PER
54	,	O	O
55	Bosch	(14)	S-PER
56	,	O	O
57	Chirino	(15)	S-PER
58	,	O	O
59	Dada-Anthonij	(16)	S-PER
60	,	O	O
61	Dekkers	(17)	S-PER
62	,	O	O
63	Deldjou	(18	B-PER
64	Fard	18)	E-PER
65	,	O	O
66	Dijkstra	(19)	S-PER
67	,	O	O
68	Fattal	(20)	S-PER
69	,	O	O
70	Heijne	(21)	S-PER
71	,	O	O
72	Hellevoort	(22)	S-PER
73	,	O	O
74	Hessel	(23)	S-PER
75	,	O	O
76	Van	(24	B-PER
77	Heuven	24)	E-PER
78	,	O	O
79	Te	(25	B-PER
80	Hoonte	25)	E-PER
81	,	O	O
82	Hornsveld	(26)	S-PER
83	,	O	O
84	Kendir	(27)	S-PER
85	,	O	O
86	Kleinrensink	(28)	S-PER
87	,	O	O
88	Koning	(29)	S-PER
89	,	O	O
90	Maas	(30)	S-PER
91	,	O	O
92	Meerding	(31)	S-PER
93	,	O	O
94	Nolten	(32)	S-PER
95	,	O	O
96	Oudejans	(33)	S-PER
97	,	O	O
98	De	(34	B-PER
99	Pagter	34)	E-PER
100	,	O	O
101	Passier	(35)	S-PER
102	,	O	O
103	Peters	(36)	S-PER
104	,	O	O
105	Ramaker	(37)	S-PER
106	,	O	O
107	Raaijmakers	(38)	S-PER
108	,	O	O
109	Sasbrink	(39)	S-PER
110	,	O	O
111	Snippe	(40)	S-PER
112	,	O	O
113	Van	(41	B-PER
114	Steeg	41)	E-PER
115	,	O	O
116	Stellinga	(42)	S-PER
117	,	O	O
118	Stylianou	(43)	S-PER
119	,	O	O
120	Sungur	(44)	S-PER
121	,	O	O
122	Vasters	(45)	S-PER
123	,	O	O
124	Vermeulen	(46)	S-PER
125	,	O	O
126	Van	(47	B-PER
127	Vliet	47)	E-PER
128	,	O	O
129	Van	(48	B-PER
130	der	O	I-PER
131	Wilt	48)	E-PER
132	,	O	O
133	Zwanenberg	(49)	S-PER
134	,	O	O
135	Van	(50	B-PER
136	der	O	I-PER
137	Zweth	50)	E-PER
138	en	O	O
139	Zwinkels	(51)	S-PER
140	.	O	O
141	Afwezig	(52)	O
142	zijn	O	O
143	de	(53	O
144	leden	53)	O
145	:	O	O
146	Bos	(54)|(53	S-PER
147	,	O	O
148	Van	(55	B-PER
149	der	O	I-PER
150	Graaf	55)	E-PER
151	en	O	O
152	Talhaoui	53)|(56)	S-PER
153	.	O	O
154	Aanwezig	O	O
155	zijn	O	O
156	de	O	O
157	wethouders	O	O
158	:	O	O
159	Eerenberg	(57	S-PER
160	,	O	O
161	Van	(58	B-PER
162	Hooijdonk	58)	E-PER
163	,	O	O
164	Oosters	O	S-PER
165	,	O	O
166	Schilderman	O	S-PER
167	,	O	O
168	Streefland	O	S-PER
169	en	O	O
170	De	(59	B-PER
171	Vries	59)|57)	E-PER
172	.	O	O
173	Tevens	O	O
174	aanwezig	O	O
175	:	O	O
176	de	(61|(60	O
177	heren	O	O
178	Venhoeven	O	S-PER
179	(	O	O
180	voorzitter	(62	O
181	Rekenkamer	62)|60)	O
182	)	O	O
183	en	O	O
184	Keulen	(63	S-PER
185	(	O	O
186	lid	(64	O
187	Rekenkamer	64)|63)|61)	O
188	)	O	O
189	.	O	O
190	Griffier	(65)	O
191	:	O	O
192	mevrouw	(66	O
193	Van	O	B-PER
194	Hall	66)	E-PER
195	.	O	O
196	1.	O	O
197	Opening	(67)|(68	O
198	en	O	O
