	token	gold	model
0	Griffie	['']	[]
1	Gemeenteraad	['']	[]
2	Utrecht	['']	[]
3	Secretariaat	['B_PER_1']	[]
4	raadscommissie	['I_PER_1']	[]
5	Mens	['I_PER_1']	[]
6	&	['I_PER_1']	[]
7	Samenleving	['I_PER_1']	[]
8	Postadres	['']	[]
9	Postbus	['']	[]
10	16200	['']	[]
11	3500	['']	[]
12	CE	['']	[]
13	Utrecht	['']	[]
14	Telefoon	['']	[]
15	30	['']	[]
16	-	['']	[]
17	286	['']	[]
18	10	['']	[]
19	69	['']	[]
20	Fax	['']	[]
21	30	['']	[]
22	-	['']	[]
23	286	['']	[]
24	15	['']	[]
25	18	['']	[]
26	www.utrecht.nl/gemeenteraad	['']	[]
27	VERSLAG	['']	[]
28	OPENBARE	['']	[]
29	VERGADERING	['']	[]
30	COMMISSIE	['']	[]
31	MENS	['']	[]
32	&	['']	[]
33	SAMENLEVING	['']	[]
34	D.D.	['']	[]
35	30	['']	[]
36	SEPTEMBER	['']	[]
37	2021	['']	[]
38	[	['']	[]
39	Typ	['']	[]
40	hier	['']	[]
41	]	['']	[]
42	Pagina	['']	[]
43	1	['']	[]
44	van	['']	[]
45	12	['']	[]
46	Datum	['']	[]
47	verslag	['']	[]
48	Locatie	['']	[]
49	Verslag	['']	[]
50	door	['']	[]
51	Vaststelling	['']	[]
52	verslag	['']	[]
53	4	['']	[]
54	oktober	['']	[]
55	2021	['']	[]
56	Stadhuis	['']	[]
57	,	['']	[]
58	de	['']	[]
59	hal	['']	[]
60	Geertjan	['B_PER_2']	['B_PER_1']
61	Benus	['I_PER_2']	['I_PER_1']
62	(	['']	[]
63	Notutekst	['']	[]
64	)	['']	[]
65	november	['']	[]
66	2021	['']	[]
67	Aanwezigen	['']	[]
68	:	['']	[]
69	Ochtendvergadering	['']	[]
70	De	['']	[]
71	voorzitters	['']	[]
72	,	['']	[]
73	de	['B_PER_3']	[]
74	heer	['I_PER_3']	['B_PER_2']
75	M.	['I_PER_3']	['I_PER_2']
76	de	['I_PER_3']	['I_PER_2']
77	Pagter	['I_PER_3']	['I_PER_2']
78	,	['']	[]
79	de	['B_PER_4']	[]
80	heer	['I_PER_4']	['B_PER_3']
81	M.	['I_PER_4']	['I_PER_3']
82	Saiah	['I_PER_4']	['I_PER_3']
83	en	['']	[]
84	de	['B_PER_5']	[]
85	wethouder	['I_PER_5']	[]
86	de	['I_PER_5']	[]
87	heer	['I_PER_5']	['B_PER_4']
88	K.	['I_PER_5']	['I_PER_4']
89	Verschuure	['I_PER_5']	['I_PER_4']
90	,	['']	[]
91	de	['B_PER_6']	[]
92	burgemeester	['I_PER_6']	[]
93	mevrouw	['I_PER_6']	['B_PER_5']
94	S.	['I_PER_6']	['I_PER_5']
95	Dijksma	['I_PER_6']	['I_PER_5']
96	,	['']	[]
97	mevrouw	['B_PER_7']	['B_PER_6']
98	S.	['I_PER_7']	['I_PER_6']
99	Schers	['I_PER_7']	['I_PER_6']
100	(	['']	[]
101	GroenLinks	['']	[]
102	)	['']	[]
103	,	['']	[]
104	mevrouw	['B_PER_8']	['B_PER_1']
105	C.	['I_PER_8']	['I_PER_1']
106	van	['I_PER_8']	['I_PER_1']
107	Dun	['I_PER_8']	[]
108	(	['']	[]
109	D66	['']	[]
110	)	['']	[]
111	mevrouw	['B_PER_9']	['B_PER_7']
112	J.	['I_PER_9']	['I_PER_7']
113	Admiraal	['I_PER_9']	['I_PER_7']
114	(	['']	[]
115	ChristenUnie	['']	[]
116	)	['']	[]
117	,	['']	[]
118	de	['']	[]
