	token	coref	ner
0	Wilt	O	O
1	u	(0)	O
2	bij	O	O
3	beantwoording	(1	O
4	van	O	O
5	deze	(2	O
6	brief	2)|1)	O
7	de	(4|(3	O
8	datum	3)	O
9	en	O	O
10	ons	4)|(5)	O
11	kenmerk	O	O
12	vermelden	O	O
13	.	O	O
14	Rijkswaterstaat	(6	O
15	Utrecht	6)	O
16	De	O	O
17	heer	O	O
18	S.	O	B-PER
19	Vizee	O	E-PER
20	Postbus	O	O
21	650	O	O
22	3430	O	O
23	AR	O	O
24	NIEUWEGEIN	O	O
25	Datum	O	O
26	Contactpersoon	O	O
27	Doorkiesnummer	O	O
28	2	(7	O
29	november	O	O
30	2007	7)	O
31	mevrouw	O	O
32	M.H.M.	O	B-PER
33	Hilgeman	O	E-PER
34	/	O	O
35	de	(8	O
36	heer	O	O
37	P.A.	O	B-PER
38	Molleman	O	E-PER
39	(	O	O
40	30	O	O
41	)	O	O
42	634	O	O
43	58	O	O
44	33	O	O
45	/	O	O
46	(	O	O
47	30	O	O
48	)	O	O
49	634	O	O
50	58	O	O
51	13	O	O
52	Uw	O	O
53	brief	O	O
54	d.d	8)	O
55	.	O	O
56	Uw	(9	O
57	kenmerk	9)	O
58	Ons	O	O
59	kenmerk	O	O
60	13	(10	O
61	september	O	O
62	2007	10)	O
63	jb/33341/avb	O	O
64	181170	O	O
65	Onderwerp	O	O
66	Bijlage	O	O
67	Keurvergunning	O	O
68	div.	O	O
69	Geachte	O	O
70	heer	O	O
71	Vizee	O	S-PER
72	,	O	O
73	Op	O	O
74	13	(11	O
75	september	O	O
76	2007	11)	O
77	diende	O	O
78	u	(12)	O
79	,	O	O
80	via	O	O
81	MNO	(13)	O
82	,	O	O
83	een	(14	O
84	aanvraag	O	O
85	in	O	O
86	voor	O	O
87	een	(15	O
88	keurvergunning	15)|14)	O
89	.	O	O
90	Hieronder	O	O
91	treft	O	O
92	u	(16)	O
93	enkele	(17	O
94	adviezen	17)	O
95	aan	O	O
96	,	O	O
97	gevolgd	O	O
98	door	O	O
99	de	(15	O
100	keurvergunning	15)	O
101	.	O	O
102	Mogelijk	O	O
103	meer	(18	O
104	vergunningen	18)	O
105	nodig	O	O
106	Het	(19)	O
