	token	coref	ner
0	Huizen	O	O
1	Gemeente	O	O
2	Per	O	O
3	gewone	(0	O
4	post	0)	O
5	en	O	O
6	aangetekend	O	O
7	versturen	O	O
8	Onderwerp	O	O
9	:	O	O
10	Besluit	O	O
11	afwijzing	O	O
12	handhavingsverzoek	O	O
13	Huizen	O	O
14	:	O	O
15	2	(1	O
16	september	O	O
17	2021	1)	O
18	Uw	O	O
19	brief	O	O
20	van	O	O
21	:	O	O
22	30	(2	O
23	augustus	O	O
24	2021	2)	O
25	Nummer	O	O
26	:	O	O
27	Z.	O	O
28	189555	O	O
29	Uw	O	O
30	kenmerk	O	O
31	:	O	O
32	Bijlage	O	O
33	:	O	O
34	3	O	O
35	Bij	O	O
36	beantwoording	O	O
37	van	O	O
38	deze	(3	O
39	brief	3)	O
40	,	O	O
41	graag	O	O
42	datum	(4)|(5	O
43	,	O	O
44	nummer	(6)	O
45	en	O	O
46	onderwerp	5)|(7)	O
47	vermelden	O	O
48	.	O	O
49	Geachte	(8	O
50	mevrouw	O	O
51	Westland	8)	S-PER
52	.	O	O
53	Inleiding	(9)	O
54	Er	O	O
55	is	O	O
56	op	O	O
57	1	(10	O
58	september	O	O
59	2021	10)	O
60	ter	O	O
61	plaatse	(11)	O
62	gecontroleerd	O	O
63	of	O	O
64	er	O	O
65	sprake	(12)	O
66	was	O	O
67	van	O	O
68	bouwactiviteiten	(13	O
69	zonder	O	O
70	daartoe	(14	O
71	verleende	O	O
72	omgevingsvergunning	14)|13)	O
73	en/of	O	O
74	in	O	O
75	strijd	O	O
76	met	O	O
77	wettelijke	(15	O
78	voorschriften	15)	O
79	.	O	O
80	Op	O	O
81	30	(16	O
82	augustus	O	O
83	2021	16)	O
84	ontvingen	O	O
85	wij	(17)	O
86	uw	(18	O
87	verzoek	O	O
88	om	O	O
89	handhaving	(19	O
90	vanwege	O	O
91	bouwactiviteiten	(20	O
92	op	O	O
93	naburig	(22|(21	O
94	perceel	O	O
95	Ceintuurbaan	(23	O
96	2B	23)|(24)	O
97	in	O	O
98	Huizen	21)|(25)	O
99	(	O	O
100	Bijlage	22)|20)|19)|18)|(26)	O
101	)	O	O
102	.	O	O
103	In	O	O
104	deze	(27	O
105	brief	27)	O
106	gaan	O	O
107	wij	(28)	O
108	in	O	O
109	op	O	O
110	uw	(29	O
111	verzoek	29)	O
112	.	O	O
113	Resultaten	(30	O
114	controle	30)|(31)	O
115	Gebleken	O	O
116	is	O	O
117	dat	O	O
118	er	O	O
119	wordt	O	O
120	gebouwd	O	O
121	in	O	O
122	overeenstemming	O	O
123	met	O	O
124	de	(32	O
125	op	O	O
126	20	(33	O
127	augustus	O	O
128	2021	33)	O
129	verleende	O	O
130	omgevingsvergunning	O	O
131	voor	O	O
132	het	(34	O
133	verbouwen/renoveren	O	O
134	van	O	O
135	bedrijfspand	(35)	O
136	naar	O	O
137	woning	(36)|(37	O
138	(	O	O
139	fase	(38	O
140	2	38)|(39)	O
141	)	O	O
142	(	O	O
143	Bijlage	37)|34)|32)|(40)	O
144	)	O	O
145	.	O	O
146	Daarnaast	O	O
147	bent	O	O
148	u	(41)	O
149	daarna	O	O
150	,	O	O
151	net	O	O
152	als	O	O
153	andere	(42	O
154	omwonenden	O	O
155	van	O	O
156	het	(43	O
157	perceel	O	O
158	Ceintuurbaan	(44	O
159	2b	44)|43)|42)	O
160	,	O	O
161	door	O	O
162	de	(45	O
163	heer	O	O
164	Koop	O	S-PER
165	(	O	O
166	vergunninghouder	45)|(46)	O
167	)	O	O
168	middels	O	O
169	een	(47	O
170	‘	O	O
171	buurtbrief	O	O
172	’	O	O
173	(	O	O
174	d.d.	(48	O
175	25	(49	O
176	augustus	O	O
177	jl	49)|48)|47)	O
178	.	O	O
179	)	O	O
180	op	O	O
181	de	O	O
182	hoogte	O	O
183	gebracht	O	O
184	van	O	O
185	het	(50	O
186	feit	O	O
187	dat	O	O
188	voornoemde	(51	O
189	omgevingsvergunning	51)	O
190	is	O	O
191	verleend	O	O
192	en	O	O
193	welke	(52	O
194	werkzaamheden	52)	O
195	daarmee	O	O
196	zijn	O	O
197	toegestaan	O	O
198	en	O	O
199	welke	(53	O
200	(	O	O
201	nog	O	O
202	)	O	O
203	niet	O	O
204	(	O	O
205	Bijlage	53)|50)|(54)	O
206	)	O	O
207	.	O	O
208	Ook	O	O
209	wijzen	O	O
210	wij	(55)	O
211	op	O	O
212	de	(57|(56	O
213	publicatie	O	O
214	van	O	O
215	de	(58	O
216	verleende	O	O
217	vergunning	58)	O
218	op	O	O
219	donderdag	(59	O
220	2	(60	O
221	september	O	O
222	2021	60)	O
223	(	O	O
224	Omroeper	59)|56)|(61)	O
225	)	O	O
226	,	O	O
227	alsmede	O	O
228	op	O	O
229	de	(62	O
230	daarbij	O	O
231	vermelde	O	O
232	rechtsmiddelclausule	62)|57)	O
233	.	O	O
234	Besluit	(63)	O
235	Gezien	O	O
236	onze	(64)|(65	O
237	recente	O	O
238	bevindingen	65)	O
239	hebben	O	O
240	wij	(66)	O
241	besloten	O	O
242	om	O	O
243	niet	O	O
244	tot	O	O
245	handhaving	(67)	O
246	over	O	O
247	te	O	O
248	gaan	O	O
249	aangezien	O	O
250	het	(68	O
251	huidige	O	O
252	gebruik	O	O
253	van	O	O
254	en	O	O
255	de	(69	O
256	bouwactiviteiten	O	O
257	op	O	O
258	het	(70	O
259	bovengenoemde	O	O
260	perceel	70)|69)|68)	O
261	niet	O	O
262	in	O	O
263	strijd	O	O
264	zijn	O	O
265	met	O	O
266	de	(71	O
267	verleende	O	O
268	omgevingsvergunning	71)	O
269	en	O	O
270	van	O	O
271	toepassing	(72	O
272	zijnde	O	O
273	wettelijke	(73	O
274	voorschriften	73)|72)	O
275	.	O	O
276	Wij	(74)	O
277	wijzen	O	O
278	daarom	O	O
279	het	(75	O
280	door	O	O
281	u	(76)	O
282	ingediende	O	O
283	verzoek	75)	O
284	af	O	O
285	.	O	O
286	Graaf	O	O
287	Wichman	O	O
288	10	O	O
289	,	O	O
290	1276	(77)	O
291	KB	O	O
292	Huizen	O	O
293	Postbus	O	O
294	5	O	O
295	,	O	O
296	1270	O	O
297	AA	O	O
298	Huizen	O	O
299	T	O	O
300	14	O	O
301	35	O	O
302	F	O	O
303	(	O	O
304	35	O	O
305	)	O	O
306	528	O	O
307	14	O	O
308	15	O	O
309	E	O	O
310	gemeente@huizen.nl	O	O
311	www.huizen.nl	O	O
312	Mw.	O	B-PER
313	G.	O	I-PER
314	Westland	O	E-PER
315	Ceintuurbaan	O	O
316	2A	O	O
317	1271	O	O
318	BH	O	O
319	HUIZEN	O	O
320	3	O	O
321	.	O	O
322	b	(78)	O
323	en	O	O
324	s	(79)	O
325	Gemeente	O	O
326	Huizen	O	O
327	vervolgblad	O	O
328	2	O	O
329	1.	O	O
330	2	(80)	O
331	.	O	O
332	Heeft	O	O
333	u	(81)	O
334	bezwaar	O	O
335	?	O	O
336	Als	O	O
337	u	(82)	O
338	het	(83)	O
339	niet	O	O
340	eens	O	O
341	bent	O	O
342	met	O	O
343	het	(84	O
344	besluit	84)	O
345	,	O	O
346	kunt	O	O
347	u	(85)	O
348	aan	O	O
349	het	(86	O
350	college	O	O
351	van	O	O
352	burgemeester	(87)|(88	O
353	en	O	O
354	wethouders	88)|86)|(89)	O
355	een	(90	O
356	bezwaarschrift	90)	O
357	sturen	O	O
358	.	O	O
359	Het	(91	O
360	adres	91)	O
361	is	O	O
362	:	O	O
363	Gemeente	(93|(92	O
364	Huizen	92)	O
365	,	O	O
366	Postbus	(94	O
