	token	coref	ner
0	onderwerp	O	O
1	geluidbelasting	O	O
2	tgv	O	O
3	“	O	O
4	De	O	O
5	Harmonie	O	O
6	”	O	O
7	opdrachtnummer	O	O
8	09-127	O	O
9	bestand	O	O
10	09-127b1	(0)	O
11	.	O	O
12	doc	O	O
13	bladzijde	O	O
14	pagina	O	O
15	1	(1)	O
16	van	O	O
17	2	(2)|(3	O
18	akoestie	3)	O
19	k	(4)	O
20	ADVIESBUROVANDERBOOM	(5)	O
21	Lore	(6	O
22	eta	6)	O
23	.	O	O
24	Zaadmarkt	(7	O
25	87	7)|(8)	O
26	sinds	O	O
27	1971	(9)	O
28	7201	(10)|(11	O
29	DC	11)|(12)	O
30	Zutphen	O	O
31	telefoon	O	O
32	GEMEENTE	(13)	O
33	Wij	(14)	O
34	Z8SWIJK	O	O
35	SENT	O	O
36	EE	O	O
37	NE	O	O
38	fax	O	O
39	Sesent	O	O
40	|	O	O
41	P	O	O
42	0575-545648	O	O
43	Architektenbureau	O	O
44	H.	O	B-PER
45	ten	O	I-PER
46	Dolle	O	E-PER
47	b.v	O	O
48	bsite	O	O
49	ee	O	O
50	U	O	O
51	wekevndenanntes	O	O
52	nl	O	O
53	Ligusterlaan	O	O
54	18-22	O	O
55	Dat.ontv.	O	O
56	0	O	O
57	7	O	O
58	JUN	O	O
59	2010	O	O
60	7101	O	O
61	WX	O	O
62	WINTERSWIJK	O	O
63	e-mail	O	O
64	Nr.	O	O
65	brief	O	O
66	é	O	O
67	info@vanderboomadvies.nl	O	O
68	3303	O	O
69	Beh.	O	O
70	|vaor	O	O
71	Afgedaan	O	O
72	Par.	O	O
73	lid	O	O
74	Afd	O	O
75	.	O	O
76	Kv	O	O
77	gecertificeerd	O	O
78	Zutphen	O	O
79	,	O	O
80	29	(15	O
81	april	O	O
82	2010	15)	O
83	Geachte	O	O
84	heer	O	O
85	Ten	O	B-PER
86	Dolle	O	E-PER
87	,	O	O
88	Op	O	O
89	6	(16	O
90	mei	O	O
91	2009	16)	O
92	hebben	O	O
93	wij	(17)	O
94	onderzoek	(18	O
95	verricht	O	O
96	naar	O	O
97	de	(19	O
98	geluidbelasting	O	O
99	door	O	O
100	wegverkeer	(20)	O
101	op	O	O
102	de	(21	O
103	verbouwing	O	O
104	van	O	O
105	het	(22	O
106	pand	O	O
107	aan	O	O
108	de	(23	O
109	Groenloseweg	O	O
110	63	23)	O
111	te	O	O
112	Winterswijk	22)|21)|19)|18)|(24)	O
113	.	O	O
114	In	O	O
115	aanvulling	O	O
116	op	O	O
117	dit	(25	O
118	akoestisch	O	O
119	onderzoek	O	O
120	,	O	O
121	met	O	O
122	rapportnummer	(26	O
123	-9	(27	O
124	127r1	27)|26)|25)|(28)	O
125	,	O	O
126	het	O	O
127	volgende	O	O
128	:	O	O
129	Geluidbelasting	O	O
130	door	O	O
131	inrichting	(29	O
132	“	O	O
133	De	(30	O
134	Harmonie	30)|29)	O
135	”	O	O
136	Het	(31	O
137	te	O	O
138	verbouwen	O	O
139	pand	31)	O
140	ligt	O	O
141	op	O	O
142	17	O	O
143	meter	O	O
144	uit	O	O
145	de	O	O
146	grens	O	O
147	van	O	O
148	“	(32	O
149	de	(30	O
150	Harmonie	30)|32)	O
151	”	O	O
152	gelegen	O	O
153	aan	O	O
154	de	(33	O
155	Groenloseweg	O	O
156	60	O	O
157	te	O	O
158	Winterswijk	33)|(24)	O
159	.	O	O
160	Het	(31	O
161	pand	31)	O
162	ligt	O	O
163	daarbij	O	O
164	op	O	O
165	ca	(34	O
166	23	O	O
167	meter	O	O
168	uit	O	O
169	de	(35	O
170	gevel	O	O
171	van	O	O
172	de	(36	O
173	feestzaal	O	O
174	van	O	O
175	“	(37	O
176	De	O	O
177	Harmonie	O	O
178	”	O	O
179	(	O	O
180	zie	O	O
181	tekening	(38	O
182	1	38)|37)|36)|35)|34)|(39)	O
183	)	O	O
184	.	O	O
185	In	O	O
186	deze	(40	O
187	feestzaal	40)	O
188	wordt	O	O
189	muziekgeluid	(41)	O
190	ten	O	O
191	gehore	O	O
192	gebracht	O	O
193	met	O	O
194	hoge	(42	O
195	geluidniveaus	42)	O
196	.	O	O
197	De	(43	O
198	inrichting	43)	O
199	dient	O	O
200	te	O	O
201	voldoen	O	O
202	aan	O	O
203	de	(44	O
204	grenswaarden	O	O
205	uit	O	O
206	het	(45	O
207	Activiteitenbesluit	45)|44)	O
208	.	O	O
209	Deze	(46	O
210	grenswaarden	46)	O
211	gelden	O	O
212	op	O	O
213	de	(47	O
214	gevels	O	O
215	van	O	O
216	woningen	47)|(48)	O
