	token	gold	model
0	contactpersoon	['']	[]
1	:	['']	[]
2	T.A.	['B_PER_1']	['B_PER_1']
3	Mosterman	['I_PER_1']	['I_PER_1']
4	T	['']	[]
5	0570-679425	['']	[]
6	e-mail	['']	[]
7	:	['']	[]
8	thijs.mosterman@oranjewoud.nl	['B_PER_1']	[]
9	F	['']	[]
10	(	['']	[]
11	570	['']	[]
12	)	['']	[]
13	663985	['']	[]
14	typ.	['']	[]
15	:	['']	[]
16	DW	['']	[]
17	bijlage	['']	[]
18	(	['']	[]
19	n	['']	[]
20	)	['']	[]
21	:	['']	[]
22	als	['']	[]
23	genoemd	['']	[]
24	coll	['']	[]
25	.	['']	[]
26	:	['']	[]
27	Handelsregister	['']	[]
28	Leeuwarden	['']	[]
29	1041339	['']	[]
30	ingeschreven	['']	[]
31	onder	['']	[]
32	Ingenieursbureau	['']	[]
33	Oranjewoud	['']	[]
34	B.V.	['']	[]
35	btw.nr.	['']	[]
36	NL003616654B02	['']	[]
37	Vestigingen	['']	[]
38	in	['']	[]
39	Heerenveen	['']	[]
40	/	['']	[]
41	Assen	['']	[]
42	/	['']	[]
43	Schoonebeek	['']	[]
44	/	['']	[]
45	Deventer	['']	[]
46	/	['']	[]
47	Almere	['']	[]
48	/	['']	[]
49	Capelle	['']	[]
50	a/d	['']	[]
51	IJssel	['']	[]
52	/	['']	[]
53	Goes	['']	[]
54	/	['']	[]
55	Oosterhout	['']	[]
56	/	['']	[]
57	Geleen	['']	[]
58	Gemeente	['']	[]
59	Apeldoorn	['']	[]
60	T.a.v.	['']	[]
61	de	['B_PER_2']	[]
62	heer	['I_PER_2']	['B_PER_2']
63	B.	['I_PER_2']	['I_PER_2']
64	van	['I_PER_2']	['I_PER_2']
65	der	['I_PER_2']	[]
66	Mark	['I_PER_2']	[]
67	Postbus	['']	[]
68	9033	['']	[]
69	7300	['']	[]
70	ES	['']	[]
71	APELDOORN	['']	[]
72	datum	['']	[]
73	10	['']	[]
74	november	['']	[]
75	2006	['']	[]
76	uw	['B_PER_2']	[]
77	brief	['']	[]
78	van	['']	[]
79	uw	['B_PER_2']	[]
80	kenmerk	['']	[]
81	ons	['B_PER_1']	['B_PER_3']
82	kenmerk	['']	[]
83	164628	['']	[]
84	onderwerp	['']	[]
85	Aanvullend	['']	[]
86	bodemonderzoek	['']	[]
87	Eglantier	['']	[]
88	te	['']	[]
89	Apeldoorn	['']	[]
90	,	['']	[]
91	locatie	['']	[]
92	B2	['']	[]
93	(	['']	[]
94	openbare	['']	[]
95	weg	['']	[]
96	)	['']	[]
97	Geachte	['']	[]
98	heer	['B_PER_2']	['B_PER_4']
99	Van	['I_PER_2']	['I_PER_4']
100	der	['I_PER_2']	['I_PER_4']
101	Mark	['I_PER_2']	['I_PER_4']
102	,	['']	[]
103	Hierbij	['']	[]
104	ontvangt	['']	[]
105	u	['B_PER_2']	['B_PER_5']
106	de	['']	[]
107	resultaten	['']	[]
108	van	['']	[]
109	het	['']	[]
110	uitgevoerde	['']	[]
111	bodemonderzoek	['']	[]
112	op	['']	[]
113	het	['']	[]
114	bovengenoemde	['']	[]
115	terrein	['']	[]
116	.	['']	[]
