	token	gold	model
0	Retouradres	['']	[]
1	Antwoordnummer	['']	[]
2	3061	['']	[]
3	,	['']	[]
4	8000	['']	[]
5	WB	['']	[]
6	Zwolle	['']	[]
7	Dhr.	['B_PER_1']	[]
8	B.	['I_PER_1']	['B_PER_1']
9	van	['I_PER_1']	['I_PER_1']
10	’t	['I_PER_1']	['I_PER_1']
11	Wout	['I_PER_1']	['I_PER_1']
12	,	['']	[]
13	Minister	['B_PER_1']	[]
14	van	['I_PER_1']	[]
15	Economische	['I_PER_1']	[]
16	Zaken	['I_PER_1']	[]
17	en	['I_PER_1']	[]
18	Klimaat	['I_PER_1']	[]
19	Mevr.	['B_PER_2']	['B_PER_2']
20	K.	['I_PER_2']	['I_PER_2']
21	Ollongren	['I_PER_2']	['I_PER_2']
22	,	['']	[]
23	Minister	['B_PER_2']	[]
24	van	['I_PER_2']	[]
25	Binnenlandse	['I_PER_2']	[]
26	Zaken	['I_PER_2']	[]
27	en	['I_PER_2']	[]
28	Koninkrijksrelaties	['I_PER_2']	[]
29	Datum	['']	[]
30	29	['']	[]
31	januari	['']	[]
32	2021	['']	[]
33	Betreft	['']	[]
34	Wetsvoorstel	['']	[]
35	wijziging	['']	[]
36	Tijdelijke	['']	[]
37	Wet	['']	[]
38	Groningen	['']	[]
39	in	['']	[]
40	verband	['']	[]
41	met	['']	[]
42	de	['']	[]
43	versterking	['']	[]
44	(	['']	[]
45	35	['']	[]
46	603	['']	[]
47	)	['']	[]
48	Referentienummer	['']	[]
49	IMG/Bestuur/2021/019	['']	[]
50	Geachte	['']	[]
51	mevrouw	['B_PER_2']	['B_PER_3']
52	Ollongren	['I_PER_2']	['I_PER_4']
53	en	['']	[]
54	heer	['B_PER_1']	['B_PER_5']
55	Van	['I_PER_1']	['I_PER_5']
56	’t	['I_PER_1']	['I_PER_5']
57	Wout	['I_PER_1']	['I_PER_5']
58	,	['']	[]
59	Het	['']	[]
60	wetsvoorstel	['']	[]
61	tot	['']	[]
62	wijziging	['']	[]
63	van	['']	[]
64	de	['']	[]
65	Tijdelijke	['']	[]
66	wet	['']	[]
67	Groningen	['']	[]
68	in	['']	[]
69	verband	['']	[]
70	met	['']	[]
71	de	['']	[]
72	versterking	['']	[]
73	(	['']	[]
74	35	['']	[]
75	603	['']	[]
76	)	['']	[]
77	wordt	['']	[]
78	op	['']	[]
79	10	['']	[]
80	februari	['']	[]
81	2021	['']	[]
82	door	['']	[]
83	de	['']	[]
84	Tweede	['']	[]
85	Kamer	['']	[]
86	plenair	['']	[]
87	behandeld	['']	[]
88	.	['']	[]
89	Het	['']	[]
90	Instituut	['']	[]
91	Mijnbouwschade	['']	[]
92	Groningen	['']	[]
93	(	['']	[]
94	IMG	['']	[]
95	)	['']	[]
96	acht	['']	[]
97	het	['']	[]
98	wenselijk	['']	[]
99	een	['']	[]
100	aantal	['']	[]
101	wezenlijke	['']	[]
102	elementen	['']	[]
103	van	['']	[]
104	het	['']	[]
105	voorstel	['']	[]
106	te	['']	[]
107	markeren	['']	[]
108	.	['']	[]
109	Duurzaam	['']	[]
110	schadeherstel	['']	[]
111	Het	['']	[]
112	wetsvoorstel	['']	[]
113	verankert	['']	[]
114	de	['']	[]
115	procedure	['']	[]
116	voor	['']	[]
117	de	['']	[]
118	versterking	['']	[]
119	van	['']	[]
120	gebouwen	['']	[]
121	,	['']	[]
122	maar	['']	[]
123	raakt	['']	[]
124	ook	['']	[]
125	op	['']	[]
126	een	['']	[]
127	aantal	['']	[]
128	punten	['']	[]
129	de	['']	[]
130	taak	['']	[]
131	van	['']	[]
132	het	['']	[]
133	Instituut	['']	[]
134	Mijnbouwschade	['']	[]
135	Groningen	['']	[]
136	doordat	['']	[]
137	het	['']	[]
138	een	['']	[]
139	scherpe	['']	[]
140	scheiding	['']	[]
141	aanbrengt	['']	[]
142	tussen	['']	[]
143	de	['']	[]
144	taken	['']	[]
145	van	['']	[]
146	NCG	['']	[]
147	en	['']	[]
148	het	['']	[]
149	IMG	['']	[]
150	.	['']	[]
151	Uitgangspunt	['']	[]
152	blijft	['']	[]
153	dat	['']	[]
154	het	['']	[]
155	IMG	['']	[]
156	slechts	['']	[]
157	bevoegd	['']	[]
158	is	['']	[]
159	voor	['']	[]
160	zover	['']	[]
161	de	['']	[]
162	mijnbouwschade	['']	[]
163	herleidbaar	['']	[]
164	is	['']	[]
165	tot	['']	[]
166	de	['']	[]
167	civielrechtelijke	['']	[]
168	aansprakelijkheid	['']	[]
169	van	['']	[]
170	NA	['']	[]
171	M	['']	[]
172	.	['']	[]
173	Het	['']	[]
174	IMG	['']	[]
175	vergoedt	['']	[]
176	mijnbouwschade	['']	[]
177	op	['']	[]
178	basis	['']	[]
179	van	['']	[]
180	herstel	['']	[]
181	van	['']	[]
182	de	['']	[]
183	schade	['']	[]
184	in	['']	[]
185	de	['']	[]
186	oude	['']	[]
187	toestand	['']	[]
188	.	['']	[]
189	In	['']	[]
190	de	['']	[]
191	praktijk	['']	[]
192	betekent	['']	[]
193	dat	['']	[]
194	dat	['']	[]
195	er	['']	[]
196	een	['']	[]
197	reële	['']	[]
198	kans	['']	[]
199	is	['']	[]
200	dat	['']	[]
201	bij	['']	[]
202	een	['']	[]
203	volgende	['']	[]
204	beving	['']	[]
205	de	['']	[]
206	bewoner	['']	[]
207	die	['']	[]
208	zijn	['']	[]
209	schade	['']	[]
210	heeft	['']	[]
211	hersteld	['']	[]
212	met	['']	[]
213	nieuwe	['']	[]
214	schade	['']	[]
215	wordt	['']	[]
216	geconfronteerd	['']	[]
217	,	['']	[]
218	met	['']	[]
219	alle	['']	[]
220	lasten	['']	[]
221	die	['']	[]
222	de	['']	[]
223	afwikkeling	['']	[]
224	daarvan	['']	[]
225	weer	['']	[]
226	meebrengt	['']	[]
227	.	['']	[]
228	Andere	['']	[]
229	bewoners	['']	[]
230	herstellen	['']	[]
231	de	['']	[]
232	schade	['']	[]
233	niet	['']	[]
234	meer	['']	[]
235	omdat	['']	[]
236	ze	['']	[]
237	terugkeer	['']	[]
238	van	['']	[]
239	de	['']	[]
240	schade	['']	[]
241	bij	['']	[]
242	een	['']	[]
243	nieuwe	['']	[]
244	beving	['']	[]
245	vrezen	['']	[]
246	of	['']	[]
247	omdat	['']	[]
248	zij	['']	[]
249	de	['']	[]
250	beslissing	['']	[]
251	over	['']	[]
252	de	['']	[]
253	versterking	['']	[]
254	afwachten	['']	[]
255	.	['']	[]
256	Het	['']	[]
257	IMG	['']	[]
258	vindt	['']	[]
259	dit	['']	[]
260	een	['']	[]
261	maatschappelijk	['']	[]
262	niet	['']	[]
263	te	['']	[]
264	verantwoorden	['']	[]
265	uitkomst	['']	[]
266	.	['']	[]
267	In	['']	[]
268	het	['']	[]
269	verslag	['']	[]
270	hebben	['']	[]
271	verschillende	['']	[]
272	fracties	['']	[]
273	gevraagd	['']	[]
274	waarom	['']	[]
275	geen	['']	[]
276	ruimere	['']	[]
277	herstelmethode	['']	[]
278	gericht	['']	[]
279	op	['']	[]
280	aardbevingsbestendigheid	['']	[]
281	mogelijk	['']	[]
282	wordt	['']	[]
283	gemaakt	['']	[]
284	(	['']	[]
285	zie	['']	[]
286	Kamerstukken	['']	[]
287	II	['']	[]
288	35	['']	[]
289	603	['']	[]
290	,	['']	[]
291	p.	['']	[]
292	7-9	['']	[]
293	en	['']	[]
294	22	['']	[]
295	)	['']	[]
296	.	['']	[]
297	Ook	['']	[]
298	in	['']	[]
299	zijn	['']	[]
300	reactie	['']	[]
301	aan	['']	[]
302	de	['']	[]
303	Kamer	['']	[]
304	van	['']	[]
305	22	['']	[]
306	januari	['']	[]
307	jl.	['']	[]
308	bepleit	['']	[]
309	het	['']	[]
310	Groninger	['']	[]
311	Gasberaad	['']	[]
312	een	['']	[]
313	schadeherstel	['']	[]
314	op	['']	[]
315	een	['']	[]
316	manier	['']	[]
317	die	['']	[]
318	zoveel	['']	[]
319	mogelijk	['']	[]
320	preventief	['']	[]
321	werkt	['']	[]
322	(	['']	[]
323	“	['']	[]
324	Te	['']	[]
325	veel	['']	[]
326	,	['']	[]
327	te	['']	[]
328	weinig	['']	[]
329	,	['']	[]
330	te	['']	[]
331	laat	['']	[]
332	”	['']	[]
333	p.	['']	[]
334	4	['']	[]
335	,	['']	[]
336	8-9	['']	[]
337	)	['']	[]
338	.	['']	[]
339	De	['']	[]
340	oplossing	['']	[]
341	zou	['']	[]
342	zijn	['']	[]
343	dat	['']	[]
344	het	['']	[]
345	IMG	['']	[]
346	meer	['']	[]
347	afwegingsruimte	['']	[]
348	wordt	['']	[]
349	gegeven	['']	[]
350	om	['']	[]
351	in	['']	[]
352	daarvoor	['']	[]
353	in	['']	[]
354	aanmerking	['']	[]
355	komende	['']	[]
356	situaties	['']	[]
357	de	['']	[]
358	schade	['']	[]
359	meer	['']	[]
360	duurzaam	['']	[]
361	te	['']	[]
362	herstellen	['']	[]
363	.	['']	[]
364	Een	['']	[]
365	dergelijke	['']	[]
366	bepaling	['']	[]
367	zou	['']	[]
368	in	['']	[]
369	een	['']	[]
370	nieuw	['']	[]
371	lid	['']	[]
372	10	['']	[]
373	van	['']	[]
374	artikel	['']	[]
375	2	['']	[]
376	kunnen	['']	[]
377	luiden	['']	[]
378	:	['']	[]
379	“	['']	[]
380	Naast	['']	[]
381	de	['']	[]
382	schade	['']	[]
383	als	['']	[]
384	bedoeld	['']	[]
385	in	['']	[]
386	artikel	['']	[]
387	184	['']	[]
388	van	['']	[]
389	boek	['']	[]
390	6	['']	[]
391	van	['']	[]
392	het	['']	[]
393	Burgerlijk	['']	[]
394	Wetboek	['']	[]
395	kan	['']	[]
396	het	['']	[]
397	IMG	['']	[]
398	aan	['']	[]
399	verzoeker	['']	[]
400	een	['']	[]
401	in	['']	[]
402	redelijkheid	['']	[]
403	te	['']	[]
404	bepalen	['']	[]
405	tegemoetkoming	['']	[]
406	in	['']	[]
407	geld	['']	[]
408	of	['']	[]
409	in	['']	[]
410	natura	['']	[]
411	toekennen	['']	[]
412	voor	['']	[]
413	iedere	['']	[]
414	redelijke	['']	[]
415	maatregel	['']	[]
416	die	['']	[]
417	nodig	['']	[]
418	is	['']	[]
419	om	['']	[]
