	token	coref	ner
0	>	O	O
1	Retouradres	O	O
2	Postbus	O	O
3	20011	O	O
4	2500	O	O
5	EA	O	O
6	Den	O	O
7	Haag	O	O
8	Vereniging	O	O
9	van	O	O
10	Nederlandse	O	O
11	Projectontwikkeling	O	O
12	Maatschappijen	O	O
13	(	O	O
14	NEPROM	(0)	O
15	)	O	O
16	T.a.v	O	O
17	.	O	O
18	Voorzitter	(1	O
19	NEPROM	1)	O
20	,	O	O
21	Desirée	O	B-PER
22	Uitzetter	O	E-PER
23	Postbus	O	O
24	620	O	O
25	2270	O	O
26	AP	O	O
27	Voorburg	O	O
28	Datum	O	O
29	18	(2	O
30	januari	O	O
31	2023	2)	O
32	Betreft	O	O
33	Reactie	O	O
34	op	O	O
35	rapport	(3)	O
36	‘terugdringen	(4	O
37	onnodige	(5	O
38	vertraging	O	O
39	woningbouw	O	O
40	door	O	O
41	bezwaar-	(6	O
42	en	O	O
43	beroepsprocedures	6)|5)|4)|(7)	O
44	’	O	O
45	Volkshuisvesting	O	O
46	en	O	O
47	Bouwen	O	O
48	Woningbouw	O	O
49	Turfmarkt	O	O
50	147	O	O
51	Den	(8	O
52	Haag	8)	O
53	Postbus	O	O
54	20011	O	O
55	2500	O	O
56	EA	O	O
57	Den	O	O
58	Haag	O	O
59	www.rijksoverheid.nl	O	O
60	www.linkedin.com/company/	O	O
61	ministerie-van-bzk	O	O
62	Kenmerk	O	O
63	2022-0000717050	O	O
64	Uw	O	O
65	kenmerk	O	O
66	20220901/JF/NZ/sab	O	O
67	Bijlage	O	O
68	(	O	O
69	n	(9)	O
70	)	O	O
71	2	O	O
72	Pagina	O	O
73	1	(10)	O
74	van	O	O
75	3	O	O
76	Geachte	O	O
77	mevrouw	O	O
78	Uitzetter	O	S-PER
79	,	O	O
80	Op	O	O
81	1	(11	O
82	september	O	O
83	2022	11)	O
84	heeft	O	O
85	u	(12)	O
86	het	(14|(13	O
87	rapport	O	O
88	‘	O	O
89	Terugdringen	O	O
90	onnodige	O	O
91	vertraging	O	O
92	woningbouw	O	O
93	door	O	O
94	bewaar-	(15	O
95	en	O	O
96	beroepsprocedures	15)|13)|(16)	O
97	’	O	O
98	aan	O	O
99	mij	(17)|(18	O
100	en	O	O
101	de	(19	O
102	minister	O	O
103	voor	O	O
104	Rechtsbescherming	19)|18)|14)|(20)	O
105	toegezonden	O	O
106	.	O	O
107	Mede	O	O
