	token	coref	ner
0	datum	O	O
1	24-5-2018	O	O
2	dossiercode	O	O
3	20180524-12-17944	O	O
4	Project	O	O
5	:	O	O
6	Bestemmingsplan	O	O
7	Purmerweg	O	O
8	19-21	O	O
9	2018	O	O
10	Gemeente	O	O
11	:	O	O
12	Purmerend	O	O
13	Aanvrager	O	O
14	:	O	O
15	Mevrouw	O	O
16	M.	O	B-PER
17	Verheijen	O	E-PER
18	Organisatie	O	O
19	:	O	O
20	Bugel	(0	O
21	Hajema	O	O
22	Adviseurs	O	O
23	Geachte	O	O
24	heer/mevrouw	O	O
25	Mevrouw	O	O
26	M.	O	B-PER
27	Verheijen	0)	E-PER
28	,	O	O
29	Voor	O	O
30	het	(1	O
31	plan	O	O
32	Bestemmingsplan	O	O
33	Purmerweg	O	O
34	19-21	O	O
35	2018	1)	O
36	heeft	O	O
37	u	(2)	O
38	advies	(3)	O
39	aangevraagd	O	O
40	in	O	O
41	het	O	O
42	kader	O	O
43	van	O	O
44	de	(4	O
45	watertoets	O	O
46	op	O	O
47	www.dewatertoets.nl.	4)|(5)	O
48	Met	O	O
49	de	(6	O
50	gegevens	O	O
51	die	O	O
52	u	(2)	O
53	heeft	O	O
54	opgegeven	6)	O
55	is	O	O
56	bepaald	O	O
57	dat	O	O
58	bepaalde	(7	O
59	aspecten	O	O
60	van	O	O
61	het	(8	O
62	plan	8)|7)	O
63	een	(10|(9	O
64	zodanige	O	O
65	invloed	O	O
66	hebben	O	O
67	op	O	O
68	de	(11	O
69	belangen	O	O
70	van	O	O
71	het	(12	O
72	hoogheemraadschap	12)|11)|9)	O
73	dat	O	O
74	de	(13	O
75	normale	O	O
76	procedure	13)	O
77	moet	O	O
78	worden	O	O
79	gevolgd	10)	O
80	.	O	O
81	Dit	(14)	O
82	betekent	O	O
83	dat	O	O
84	wij	(15)	O
85	in	O	O
86	overleg	(16)|(17	O
87	met	O	O
88	u	17)|(18)	O
89	willen	O	O
90	bespreken	O	O
91	hoe	O	O
92	in	O	O
93	uw	(8	O
94	plan	8)	O
95	rekening	(19)	O
96	kan	O	O
97	worden	O	O
98	gehouden	O	O
99	deze	(20	O
